#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   2.177   -14.545  0.000  0.000  0.002  0.000  0.082  0.116  0.232  0.270  0.187  0.888
   2.182   -14.548  0.000  0.000  0.000  0.000  0.084  0.120  0.214  0.277  0.191  0.886
   2.187   -14.550  0.000  0.000  0.000  0.000  0.086  0.123  0.196  0.283  0.195  0.884
   2.193   -14.553  0.000  0.000  0.000  0.000  0.088  0.127  0.180  0.288  0.198  0.882
   2.198   -14.555  0.000  0.000  0.000  0.000  0.090  0.130  0.164  0.293  0.201  0.880
   2.203   -14.557  0.000  0.000  0.000  0.000  0.092  0.134  0.150  0.297  0.203  0.879
   2.208   -14.560  0.000  0.000  0.000  0.000  0.094  0.136  0.138  0.301  0.205  0.877
   2.213   -14.562  0.000  0.000  0.000  0.000  0.096  0.140  0.126  0.305  0.207  0.876
   2.218   -14.564  0.000  0.000  0.000  0.000  0.098  0.142  0.116  0.307  0.209  0.874
   2.224   -14.567  0.000  0.000  0.000  0.000  0.099  0.145  0.106  0.309  0.210  0.873
   2.229   -14.569  0.000  0.000  0.000  0.000  0.101  0.148  0.098  0.311  0.211  0.871
   2.234   -14.571  0.000  0.000  0.000  0.000  0.102  0.151  0.090  0.313  0.212  0.870
   2.239   -14.573  0.000  0.000  0.000  0.000  0.104  0.153  0.082  0.315  0.213  0.869
   2.244   -14.575  0.000  0.000  0.000  0.000  0.106  0.156  0.076  0.317  0.213  0.868
   2.250   -14.577  0.000  0.000  0.000  0.000  0.107  0.158  0.069  0.317  0.213  0.867
   2.255   -14.579  0.000  0.000  0.000  0.000  0.108  0.161  0.064  0.318  0.213  0.866
   2.260   -14.581  0.000  0.000  0.000  0.000  0.110  0.163  0.058  0.319  0.213  0.865
   2.265   -14.583  0.000  0.000  0.000  0.000  0.111  0.166  0.054  0.319  0.213  0.864
   2.270   -14.585  0.000  0.000  0.000  0.000  0.113  0.168  0.048  0.319  0.213  0.863
   2.275   -14.587  0.000  0.000  0.000  0.000  0.114  0.171  0.044  0.319  0.213  0.863
   2.281   -14.588  0.000  0.000  0.000  0.000  0.116  0.173  0.040  0.319  0.213  0.862
   2.286   -14.590  0.000  0.000  0.000  0.000  0.117  0.176  0.037  0.317  0.211  0.861
   2.291   -14.591  0.000  0.000  0.000  0.000  0.119  0.178  0.034  0.317  0.211  0.861
   2.296   -14.593  0.000  0.000  0.000  0.000  0.120  0.181  0.030  0.317  0.211  0.860
