#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   1.623   -14.511  0.016  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.634   -14.510  0.014  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.644   -14.510  0.014  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.654   -14.510  0.014  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   1.665   -14.510  0.014  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   1.675   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   1.685   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   1.696   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   1.706   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   1.716   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.727   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.737   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.748   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.758   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.768   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.779   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.789   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.799   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.810   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.820   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.830   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.841   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.851   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.861   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.872   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.882   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.892   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.903   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.913   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.913   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.918   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.923   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.929   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.934   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.939   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.944   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.949   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.955   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.960   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.010
   1.965   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.970   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.975   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.980   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.986   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.991   -14.510  0.010  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   1.996   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   2.001   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.012
   2.006   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   2.011   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   2.017   -14.510  0.012  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   2.022   -14.510  0.014  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.014
   2.027   -14.510  0.014  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   2.032   -14.510  0.014  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   2.037   -14.510  0.016  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.016
   2.043   -14.511  0.016  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   2.048   -14.511  0.016  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.018
   2.053   -14.511  0.018  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.020
   2.058   -14.511  0.018  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.020
   2.063   -14.512  0.020  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.022
   2.068   -14.512  0.020  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.022
   2.074   -14.513  0.022  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.024
   2.079   -14.514  0.024  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.026
   2.084   -14.514  0.024  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.026
   2.089   -14.515  0.026  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.028
   2.094   -14.516  0.028  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.030
   2.099   -14.517  0.030  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.032
   2.105   -14.518  0.032  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.034
   2.110   -14.519  0.034  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.036
   2.115   -14.521  0.036  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.038
   2.120   -14.522  0.038  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.040
   2.125   -14.524  0.040  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.042
   2.131   -14.526  0.042  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.044
   2.136   -14.528  0.044  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.046
   2.141   -14.529  0.046  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.048
   2.146   -14.532  0.048  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.050
   2.151   -14.534  0.050  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.052
   2.156   -14.536  0.052  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.054
   2.162   -14.538  0.054  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.056
   2.167   -14.540  0.056  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.058
   2.172   -14.543  0.058  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.060
   2.177   -14.545  0.060  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.062
   2.182   -14.548  0.061  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.064
   2.187   -14.550  0.062  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.065
   2.193   -14.553  0.064  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.066
   2.198   -14.555  0.066  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.068
   2.203   -14.557  0.066  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.069
   2.208   -14.560  0.068  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.070
   2.213   -14.562  0.069  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.072
   2.218   -14.564  0.070  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.072
   2.224   -14.567  0.071  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.074
   2.229   -14.569  0.072  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.074
   2.234   -14.571  0.073  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.076
   2.239   -14.573  0.074  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.076
   2.244   -14.575  0.074  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.077
   2.250   -14.577  0.076  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.078
   2.255   -14.579  0.076  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.078
   2.260   -14.581  0.077  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.079
   2.265   -14.583  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   2.270   -14.585  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.080
   2.275   -14.587  0.078  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.081
   2.281   -14.588  0.079  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   2.286   -14.590  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   2.291   -14.591  0.080  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.082
   2.296   -14.593  0.081  0.000  0.002  0.000  0.000  0.000  0.000  0.000  0.000  0.083
