# Kpath    Energy-Level (in eV)
# Band    1
       1.65468      -0.27984
       1.64132      -0.31578
       1.62796      -0.35187
       1.61460      -0.38788
       1.60124      -0.42363
       1.58789      -0.45899
       1.57453      -0.49382
       1.56117      -0.52805
       1.54781      -0.56158
       1.53445      -0.59436
       1.52110      -0.62631
       1.50774      -0.65741
       1.49438      -0.68761
       1.48102      -0.71688
       1.46766      -0.74518
       1.45430      -0.77250
       1.44095      -0.79880
       1.42759      -0.82407
       1.41423      -0.84830
       1.40087      -0.87147
       1.38751      -0.89357
       1.37416      -0.91459
       1.36080      -0.93451
       1.34744      -0.95333
       1.33408      -0.97104
       1.32072      -0.98763
       1.30737      -1.00310
       1.29401      -1.01745
       1.28065      -1.03066
       1.26729      -1.04274
       1.25393      -1.05367
       1.24057      -1.06347
       1.22722      -1.07211
       1.21386      -1.07961
       1.20050      -1.08596
       1.18714      -1.09116
       1.17378      -1.09520
       1.16043      -1.09809
       1.14707      -1.09982
       1.13371      -1.10039
       1.13371      -1.10039
       1.11057      -1.11005
       1.08744      -1.13843
       1.06430      -1.18395
       1.04116      -1.24437
       1.01803      -1.31716
       0.99489      -1.39984
       0.97175      -1.49013
       0.94861      -1.58609
       0.92548      -1.68612
       0.90234      -1.78889
       0.87920      -1.89332
       0.85607      -1.99855
       0.83293      -2.10387
       0.80979      -2.20873
       0.78666      -2.31265
       0.76352      -2.41526
       0.74038      -2.51625
       0.71725      -2.61535
       0.69411      -2.71235
       0.67097      -2.80706
       0.64783      -2.89933
       0.62470      -2.98902
       0.60156      -2.96091
       0.57842      -2.90236
       0.55529      -2.84227
       0.53215      -2.78080
       0.50901      -2.71815
       0.48588      -2.65448
       0.46274      -2.59003
       0.43960      -2.52504
       0.41646      -2.45975
       0.39333      -2.39445
       0.37019      -2.32945
       0.34705      -2.26509
       0.32392      -2.20173
       0.30078      -2.13977
       0.27764      -2.07962
       0.25451      -2.02172
       0.23137      -1.96655
       0.20823      -1.91459
       0.18510      -1.86632
       0.16196      -1.82225
       0.13882      -1.78286
       0.11568      -1.74861
       0.09255      -1.71993
       0.06941      -1.69720
       0.04627      -1.68073
       0.02314      -1.67076
       0.00000      -1.66741
# Band    5
       0.00000       3.68312
       0.02314       3.68498
       0.04627       3.69055
       0.06941       3.69982
       0.09255       3.71274
       0.11568       3.72925
       0.13882       3.74928
       0.16196       3.77268
       0.18510       3.79925
       0.20823       3.82869
       0.23137       3.86045
       0.25451       3.89361
       0.27764       3.92646
       0.30078       3.95575
       0.32392       3.97573
       0.34705       3.97905
       0.37019       3.96249
       0.39333       3.93014
       0.41646       3.88812
       0.43960       3.84073
       0.46274       3.79043
       0.48588       3.73866
       0.50901       3.68627
       0.53215       3.63389
       0.55529       3.58192
       0.57842       3.53068
       0.60156       3.48043
       0.62470       3.43137
       0.64783       3.38368
       0.67097       3.33750
       0.69411       3.29298
       0.71725       3.25022
       0.74038       3.20931
       0.76352       3.17033
       0.78666       3.13329
       0.80979       3.08495
       0.83293       2.90881
       0.85607       2.73480
