# Kpath    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
# Band    1
   2.296    -6.260  0.105  0.153  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.326
   2.269    -6.419  0.105  0.150  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.323
   2.242    -6.573  0.104  0.148  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.320
   2.216    -6.723  0.103  0.146  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.316
   2.189    -6.867  0.100  0.145  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.311
   2.162    -7.005  0.097  0.143  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.307
   2.136    -7.136  0.092  0.141  0.000  0.067  0.000  0.000  0.000  0.000  0.000  0.301
   2.109    -7.261  0.087  0.140  0.000  0.068  0.000  0.000  0.000  0.000  0.000  0.295
   2.082    -7.377  0.081  0.139  0.000  0.068  0.000  0.000  0.000  0.000  0.000  0.288
   2.055    -7.485  0.073  0.138  0.000  0.069  0.000  0.000  0.000  0.000  0.000  0.280
   2.029    -7.583  0.064  0.137  0.000  0.071  0.000  0.000  0.000  0.000  0.000  0.272
   2.002    -7.671  0.055  0.136  0.000  0.073  0.000  0.000  0.000  0.000  0.000  0.263
   1.975    -7.748  0.045  0.134  0.000  0.075  0.000  0.000  0.000  0.000  0.000  0.254
   1.949    -7.813  0.035  0.133  0.000  0.077  0.000  0.000  0.000  0.000  0.000  0.245
   1.922    -7.865  0.025  0.131  0.000  0.081  0.000  0.000  0.000  0.000  0.000  0.236
   1.895    -7.904  0.016  0.128  0.000  0.084  0.000  0.000  0.000  0.000  0.000  0.228
   1.868    -7.930  0.009  0.124  0.000  0.089  0.000  0.000  0.000  0.000  0.000  0.222
   1.842    -7.946  0.004  0.119  0.000  0.094  0.000  0.000  0.000  0.000  0.000  0.217
   1.815    -7.954  0.001  0.113  0.000  0.100  0.000  0.000  0.000  0.000  0.000  0.214
   1.788    -7.955  0.000  0.107  0.000  0.107  0.000  0.000  0.000  0.000  0.000  0.213
   1.788    -7.955  0.000  0.107  0.000  0.107  0.000  0.000  0.000  0.000  0.000  0.213
   1.775    -7.955  0.000  0.103  0.000  0.110  0.000  0.000  0.000  0.000  0.000  0.213
   1.762    -7.955  0.001  0.099  0.000  0.114  0.000  0.000  0.000  0.000  0.000  0.214
   1.748    -7.955  0.001  0.096  0.000  0.118  0.000  0.000  0.000  0.000  0.000  0.215
   1.735    -7.955  0.002  0.092  0.000  0.122  0.000  0.000  0.000  0.000  0.000  0.216
   1.721    -7.956  0.003  0.089  0.000  0.126  0.000  0.000  0.000  0.000  0.000  0.217
   1.708    -7.959  0.004  0.085  0.000  0.129  0.000  0.000  0.000  0.000  0.000  0.219
   1.695    -7.962  0.005  0.082  0.000  0.133  0.000  0.000  0.000  0.000  0.000  0.220
   1.681    -7.967  0.006  0.079  0.000  0.137  0.000  0.000  0.000  0.000  0.000  0.222
   1.668    -7.974  0.007  0.076  0.000  0.140  0.000  0.000  0.000  0.000  0.000  0.224
   1.655    -7.981  0.008  0.074  0.000  0.143  0.000  0.000  0.000  0.000  0.000  0.225
   1.641    -7.990  0.009  0.072  0.000  0.146  0.000  0.000  0.000  0.000  0.000  0.227
   1.628    -8.000  0.010  0.070  0.000  0.149  0.000  0.000  0.000  0.000  0.000  0.228
   1.615    -8.011  0.010  0.068  0.000  0.151  0.000  0.000  0.000  0.000  0.000  0.230
   1.601    -8.023  0.011  0.067  0.000  0.154  0.000  0.000  0.000  0.000  0.000  0.231
   1.588    -8.036  0.011  0.066  0.000  0.156  0.000  0.000  0.000  0.000  0.000  0.232
   1.575    -8.050  0.011  0.064  0.000  0.158  0.000  0.000  0.000  0.000  0.000  0.234
   1.561    -8.064  0.012  0.064  0.000  0.159  0.000  0.000  0.000  0.000  0.000  0.235
   1.548    -8.079  0.012  0.063  0.000  0.161  0.000  0.000  0.000  0.000  0.000  0.236
   1.534    -8.094  0.012  0.062  0.000  0.162  0.000  0.000  0.000  0.000  0.000  0.236
   1.521    -8.109  0.012  0.061  0.000  0.163  0.000  0.000  0.000  0.000  0.000  0.237
   1.508    -8.124  0.013  0.061  0.000  0.165  0.000  0.000  0.000  0.000  0.000  0.238
   1.494    -8.140  0.013  0.060  0.000  0.166  0.000  0.000  0.000  0.000  0.000  0.239
   1.481    -8.155  0.013  0.060  0.000  0.166  0.000  0.000  0.000  0.000  0.000  0.239
   1.468    -8.170  0.013  0.060  0.000  0.167  0.000  0.000  0.000  0.000  0.000  0.240
   1.454    -8.185  0.013  0.059  0.000  0.168  0.000  0.000  0.000  0.000  0.000  0.240
   1.441    -8.200  0.013  0.059  0.000  0.169  0.000  0.000  0.000  0.000  0.000  0.241
   1.428    -8.214  0.013  0.059  0.000  0.169  0.000  0.000  0.000  0.000  0.000  0.241
   1.414    -8.228  0.013  0.059  0.000  0.170  0.000  0.000  0.000  0.000  0.000  0.242
   1.401    -8.242  0.013  0.059  0.000  0.170  0.000  0.000  0.000  0.000  0.000  0.242
   1.388    -8.255  0.013  0.059  0.000  0.171  0.000  0.000  0.000  0.000  0.000  0.242
   1.374    -8.267  0.013  0.059  0.000  0.171  0.000  0.000  0.000  0.000  0.000  0.243
   1.361    -8.280  0.013  0.058  0.000  0.172  0.000  0.000  0.000  0.000  0.000  0.243
   1.347    -8.291  0.013  0.058  0.000  0.172  0.000  0.000  0.000  0.000  0.000  0.243
   1.334    -8.302  0.013  0.058  0.000  0.172  0.000  0.000  0.000  0.000  0.000  0.243
   1.321    -8.312  0.013  0.058  0.000  0.172  0.000  0.000  0.000  0.000  0.000  0.243
   1.307    -8.322  0.013  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.244
   1.294    -8.331  0.013  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.244
   1.281    -8.340  0.013  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.244
   1.267    -8.347  0.013  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.244
   1.254    -8.354  0.013  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.244
   1.241    -8.361  0.013  0.058  0.000  0.173  0.000  0.000  0.000  0.000  0.000  0.244
   1.227    -8.366  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.244
   1.214    -8.371  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.244
   1.201    -8.375  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.244
   1.187    -8.378  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.245
   1.174    -8.381  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.245
   1.160    -8.383  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.245
   1.147    -8.384  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.245
   1.134    -8.385  0.013  0.058  0.000  0.174  0.000  0.000  0.000  0.000  0.000  0.245
