#K-Path     Energy-Level
#Band-index    1
  1.203      -16.4905
  1.213      -16.4906
  1.223      -16.4906
  1.233      -16.4907
  1.244      -16.4908
  1.254      -16.4909
  1.264      -16.4910
  1.274      -16.4911
  1.284      -16.4912
  1.295      -16.4914
  1.305      -16.4916
  1.315      -16.4917
  1.325      -16.4919
  1.335      -16.4922
  1.345      -16.4924
  1.356      -16.4926
  1.366      -16.4928
  1.376      -16.4931
  1.386      -16.4933
  1.396      -16.4936
  1.407      -16.4939
  1.417      -16.4941
  1.427      -16.4944
  1.437      -16.4947
  1.447      -16.4950
  1.457      -16.4954
  1.468      -16.4957
  1.478      -16.4960
  1.488      -16.4963
  1.498      -16.4966
  1.508      -16.4969
  1.519      -16.4973
  1.529      -16.4976
  1.539      -16.4979
  1.549      -16.4982
  1.559      -16.4986
  1.570      -16.4989
  1.580      -16.4992
  1.590      -16.4995
  1.600      -16.4998
  1.610      -16.5001
  1.620      -16.5004
  1.631      -16.5007
  1.641      -16.5010
  1.651      -16.5013
  1.661      -16.5016
  1.671      -16.5018
  1.682      -16.5021
  1.692      -16.5023
  1.702      -16.5025
  1.712      -16.5028
  1.722      -16.5030
  1.733      -16.5032
  1.743      -16.5034
  1.753      -16.5035
  1.763      -16.5037
  1.773      -16.5039
  1.783      -16.5040
  1.794      -16.5041
  1.804      -16.5042
  1.814      -16.5043
  1.824      -16.5044
  1.834      -16.5045
  1.845      -16.5045
  1.855      -16.5045
  1.865      -16.5046
  1.875      -16.5046
  1.875      -16.5046
  1.885      -16.5046
  1.896      -16.5046
  1.906      -16.5045
  1.916      -16.5045
  1.926      -16.5045
  1.936      -16.5044
  1.947      -16.5043
  1.957      -16.5043
  1.967      -16.5042
  1.977      -16.5041
  1.988      -16.5040
  1.998      -16.5039
  2.008      -16.5038
  2.018      -16.5036
  2.028      -16.5035
  2.039      -16.5033
  2.049      -16.5032
  2.059      -16.5030
  2.069      -16.5029
  2.080      -16.5027
  2.090      -16.5025
  2.100      -16.5023
  2.110      -16.5021
  2.120      -16.5019
  2.131      -16.5017
  2.141      -16.5015
  2.151      -16.5013
  2.161      -16.5010
  2.172      -16.5008
  2.182      -16.5006
  2.192      -16.5003
  2.202      -16.5001
  2.212      -16.4998
  2.223      -16.4996
  2.233      -16.4993
  2.243      -16.4991
  2.253      -16.4988
  2.264      -16.4985
  2.274      -16.4983
  2.284      -16.4980
  2.294      -16.4977
  2.304      -16.4975
  2.315      -16.4972
  2.325      -16.4969
  2.335      -16.4967
  2.345      -16.4964
  2.356      -16.4961
  2.366      -16.4959
  2.376      -16.4956
  2.386      -16.4954
  2.396      -16.4951
  2.407      -16.4949
  2.417      -16.4946
  2.427      -16.4944
  2.437      -16.4941
  2.448      -16.4939
  2.458      -16.4937
  2.468      -16.4935
  2.478      -16.4932
  2.488      -16.4930
  2.499      -16.4928
  2.509      -16.4926
  2.519      -16.4924
  2.529      -16.4923
  2.539      -16.4921
  2.550      -16.4919
  2.560      -16.4918
  2.570      -16.4916
  2.580      -16.4915
  2.591      -16.4913
  2.601      -16.4912
  2.611      -16.4911
  2.621      -16.4910
  2.631      -16.4909
  2.642      -16.4908
  2.652      -16.4907
  2.662      -16.4907
  2.672      -16.4906
  2.683      -16.4906
  2.693      -16.4906
  2.703      -16.4905
  2.713      -16.4905
  2.723      -16.4905
#Band-index    4
  2.723      -16.4586
  2.713      -16.4586
  2.703      -16.4586
  2.693      -16.4586
  2.683      -16.4586
  2.672      -16.4586
  2.662      -16.4586
  2.652      -16.4586
  2.642      -16.4586
  2.631      -16.4586
  2.621      -16.4586
  2.611      -16.4586
  2.601      -16.4586
  2.591      -16.4585
  2.580      -16.4585
  2.570      -16.4585
  2.560      -16.4585
  2.550      -16.4585
  2.539      -16.4585
  2.529      -16.4585
  2.519      -16.4585
  2.509      -16.4585
  2.499      -16.4585
  2.488      -16.4585
  2.478      -16.4584
  2.468      -16.4584
  2.458      -16.4584
  2.448      -16.4584
  2.437      -16.4584
  2.427      -16.4584
  2.417      -16.4584
  2.407      -16.4583
  2.396      -16.4583
  2.386      -16.4583
  2.376      -16.4583
  2.366      -16.4583
  2.356      -16.4583
  2.345      -16.4583
  2.335      -16.4582
  2.325      -16.4582
  2.315      -16.4582
  2.304      -16.4582
  2.294      -16.4582
  2.284      -16.4582
  2.274      -16.4582
  2.264      -16.4581
  2.253      -16.4581
  2.243      -16.4581
  2.233      -16.4581
  2.223      -16.4581
  2.212      -16.4581
  2.202      -16.4580
  2.192      -16.4580
  2.182      -16.4580
  2.172      -16.4580
  2.161      -16.4580
  2.151      -16.4580
  2.141      -16.4580
  2.131      -16.4579
  2.120      -16.4579
  2.110      -16.4579
  2.100      -16.4579
  2.090      -16.4579
  2.080      -16.4579
  2.069      -16.4579
  2.059      -16.4579
  2.049      -16.4579
  2.039      -16.4578
  2.028      -16.4578
  2.018      -16.4578
  2.008      -16.4578
  1.998      -16.4578
  1.988      -16.4578
  1.977      -16.4578
  1.967      -16.4578
  1.957      -16.4578
  1.947      -16.4578
  1.936      -16.4578
  1.926      -16.4578
  1.916      -16.4578
  1.906      -16.4578
  1.896      -16.4578
  1.885      -16.4578
  1.875      -16.4578
  1.875      -16.4578
  1.865      -16.4578
  1.855      -16.4578
  1.845      -16.4578
  1.834      -16.4578
  1.824      -16.4578
  1.814      -16.4578
  1.804      -16.4578
  1.794      -16.4578
  1.783      -16.4578
  1.773      -16.4578
  1.763      -16.4578
  1.753      -16.4578
  1.743      -16.4578
  1.733      -16.4578
  1.722      -16.4579
  1.712      -16.4579
  1.702      -16.4579
  1.692      -16.4579
  1.682      -16.4579
  1.671      -16.4579
  1.661      -16.4579
  1.651      -16.4580
  1.641      -16.4580
  1.631      -16.4580
  1.620      -16.4580
  1.610      -16.4580
  1.600      -16.4580
  1.590      -16.4581
  1.580      -16.4581
  1.570      -16.4581
  1.559      -16.4581
  1.549      -16.4581
  1.539      -16.4582
  1.529      -16.4582
  1.519      -16.4582
  1.508      -16.4582
  1.498      -16.4582
  1.488      -16.4583
  1.478      -16.4583
  1.468      -16.4583
  1.457      -16.4583
  1.447      -16.4583
  1.437      -16.4583
  1.427      -16.4584
  1.417      -16.4584
  1.407      -16.4584
  1.396      -16.4584
  1.386      -16.4584
  1.376      -16.4584
  1.366      -16.4585
  1.356      -16.4585
  1.345      -16.4585
  1.335      -16.4585
  1.325      -16.4585
  1.315      -16.4585
  1.305      -16.4585
  1.295      -16.4585
  1.284      -16.4585
  1.274      -16.4585
  1.264      -16.4586
  1.254      -16.4586
  1.244      -16.4586
  1.233      -16.4586
  1.223      -16.4586
  1.213      -16.4586
  1.203      -16.4586
  1.193      -16.4586
  1.182      -16.4586
  1.182      -16.4586
  1.172      -16.4586
  1.162      -16.4586
  1.151      -16.4586
  1.141      -16.4586
  1.130      -16.4586
  1.120      -16.4586
  1.110      -16.4586
  1.099      -16.4586
  1.089      -16.4586
  1.078      -16.4586
  1.068      -16.4586
  1.057      -16.4586
  1.047      -16.4586
  1.037      -16.4586
  1.026      -16.4586
  1.016      -16.4586
  1.005      -16.4586
  0.995      -16.4586
  0.984      -16.4586
  0.974      -16.4586
  0.964      -16.4586
  0.953      -16.4586
  0.943      -16.4586
  0.932      -16.4586
  0.922      -16.4586
  0.912      -16.4586
  0.901      -16.4586
  0.891      -16.4586
  0.880      -16.4586
  0.870      -16.4586
  0.859      -16.4586
  0.849      -16.4586
  0.839      -16.4586
  0.828      -16.4586
  0.818      -16.4586
  0.807      -16.4586
  0.797      -16.4586
  0.786      -16.4586
  0.776      -16.4586
  0.766      -16.4586
  0.755      -16.4586
  0.745      -16.4586
  0.734      -16.4586
  0.724      -16.4586
  0.714      -16.4586
  0.703      -16.4586
  0.693      -16.4586
  0.693      -16.4586
  0.682      -16.4586
  0.672      -16.4586
  0.662      -16.4586
  0.652      -16.4586
  0.642      -16.4586
  0.632      -16.4586
  0.621      -16.4586
  0.611      -16.4586
  0.601      -16.4586
  0.591      -16.4586
  0.581      -16.4586
  0.570      -16.4586
  0.560      -16.4586
  0.550      -16.4586
  0.540      -16.4585
  0.530      -16.4585
  0.520      -16.4585
  0.509      -16.4585
  0.499      -16.4585
  0.489      -16.4585
  0.479      -16.4585
  0.469      -16.4585
  0.458      -16.4585
  0.448      -16.4585
  0.438      -16.4585
  0.428      -16.4585
  0.418      -16.4585
  0.407      -16.4584
  0.397      -16.4584
  0.387      -16.4584
  0.377      -16.4584
  0.367      -16.4584
  0.357      -16.4584
  0.346      -16.4584
  0.336      -16.4584
  0.326      -16.4584
  0.316      -16.4584
  0.306      -16.4584
  0.295      -16.4583
  0.285      -16.4583
  0.275      -16.4583
  0.265      -16.4583
  0.255      -16.4583
  0.244      -16.4583
  0.234      -16.4583
  0.224      -16.4583
  0.214      -16.4583
